,x,y,frame,gfp_intensity,mcy_intensity
0,217,775,0,161.49129014697877,125.93485755761205
1,216,572,0,111.01304011492982,195.02773787158802
2,373,491,0,110.25495163519116,193.41513127590972
3,370,778,0,185.033385202999,108.1002970717216
4,380,670,0,182.75509717419817,107.99201144628591
5,418,728,0,178.77389705882354,108.29718137254902
6,542,576,0,163.570120800302,119.95875802189505
7,830,249,0,124.1121907129138,151.2877640944526
8,885,135,0,110.67355181167783,194.2959843064851
9,980,381,0,192.42320955970808,108.178763333066
10,1014,489,0,170.96861570516995,107.9232973043365
11,1065,1004,0,108.55063829787234,125.26340425531914
12,1139,292,0,108.90064102564102,180.0411918328585
13,214,774,1,160.60211299131524,124.29940012534695
14,217,572,1,110.06549036588007,190.7833946741719
15,369,778,1,182.37694532433548,106.0776752513428
16,375,490,1,109.18336025848143,190.22247865220402
17,379,668,1,181.67265540783328,105.95508444125045
18,416,727,1,178.58715596330276,106.03669724770643
19,540,576,1,162.34104207300084,118.4128355159283
20,833,246,1,124.30089613970588,142.8191636029412
21,885,134,1,109.80248779353639,190.07509881422925
22,980,380,1,190.94695948624434,106.18227225878063
23,1013,488,1,170.20058846104644,105.96878597927594
24,1066,1003,1,107.56132693147097,123.1593190746399
25,1053,433,1,119.22222222222223,116.44444444444444
26,1139,289,1,107.95672735871365,177.8275005911563
27,215,777,2,161.64080765143464,124.81402763018066
28,218,575,2,110.28088329421804,188.80435246426285
29,368,776,2,183.36194132163422,105.97395119276118
30,378,492,2,109.28074192809709,189.1379665674376
31,377,667,2,182.7511170148533,105.90725757758725
32,362,828,2,120.13793103448276,117.13793103448276
33,415,726,2,178.72597864768684,106.00474495848161
34,540,580,2,163.15981524249423,118.79806004618938
35,830,248,2,125.55086017780857,136.7648077589193
36,886,133,2,109.97962899738249,187.48492090588368
37,982,382,2,192.23787417960622,106.23091083720186
38,1016,488,2,170.51156394549318,105.96024503062883
39,1064,1002,2,107.59562841530055,123.19167717528373
40,1142,291,2,107.91622293219737,177.3900130162111
41,214,776,3,161.79320440028388,125.49955642299503
42,218,576,3,110.4002564376536,187.87007158884495
43,366,774,3,182.86486486486487,105.93516176274797
44,375,664,3,183.15261821260128,105.94279840367638
45,377,494,3,109.35680697327675,188.86374584241312
46,343,826,3,122.8695652173913,116.80434782608695
47,412,724,3,179.02278177458032,105.98621103117506
48,539,583,3,163.52956274635622,119.2275185626547
49,828,251,3,126.54890103500406,130.83974880800093
50,885,132,3,110.12110845022238,185.4807845820504
51,980,385,3,192.56892391828856,106.27931478204923
52,1015,490,3,170.87510884438362,105.95571588506033
53,1063,1004,3,107.6794497707378,123.01875781575656
54,1142,292,3,107.9977405161137,177.61208229278154
55,215,772,4,162.3107732406603,125.84074717636838
56,220,573,4,110.56511186154495,185.827775432672
57,366,773,4,183.5960768614892,105.92247131038164
58,376,663,4,184.19325153374234,105.90306748466257
59,380,493,4,109.3760354684401,187.90654532726637
60,413,723,4,179.31826293872695,105.86436644854254
61,542,582,4,164.69255485173966,119.74616726338016
62,828,251,4,127.78519130845537,124.90777042985357
63,884,132,4,110.31152893492457,183.10830893942807
64,912,422,4,152.11408450704226,153.29577464788733
65,984,382,4,192.8849162011173,106.30135674381485
66,1018,487,4,170.74599290346262,105.95472898568457
67,1062,999,4,107.65902578796562,122.85059353254195
68,1147,290,4,107.94156612254554,176.84528034066713
69,212,774,5,162.32461139896373,126.33911917098446
70,219,577,5,110.607074772294,184.85691590764668
71,362,774,5,183.2569584509883,105.96356057550088
72,374,665,5,183.061056704147,105.86192721557248
73,384,495,5,109.41256893382354,186.97242647058823
74,411,726,5,179.21987951807228,106.00542168674698
75,542,585,5,164.69894813202757,120.15333696046427
76,830,252,5,128.76985355399452,119.79092749136802
77,881,130,5,110.5066330446223,180.00624931476813
78,910,424,5,152.83652430044182,154.90868924889543
79,979,383,5,192.2873746218755,106.39141856392294
80,1019,488,5,170.7588565844124,105.91045687759589
81,1062,1001,5,107.7804,122.4264
82,1150,290,5,107.9313183582265,176.3425849700106
83,211,773,6,162.71418809259418,126.81062612112412
84,220,580,6,110.85380116959064,184.30600744284953
85,364,772,6,183.81335478680612,105.95052292839904
86,376,665,6,183.84164543137967,105.87064676616916
87,387,496,6,109.38137624101336,186.37772452356498
88,414,727,6,180.23462002412546,106.01809408926417
89,545,584,6,165.24519579405367,120.67820884699057
90,833,252,6,129.85129669283845,115.63740185581727
91,882,129,6,110.7589955429938,177.70659854331993
92,910,426,6,152.10668563300143,154.0782361308677
93,981,381,6,192.83894594379427,106.54199506408726
94,1019,487,6,171.09375,105.90757722007721
95,1063,1005,6,107.77092337917485,122.07308447937132
96,1146,275,6,107.91244194090325,148.36406759561223
97,210,774,7,163.40072765072765,127.31774081774081
98,221,584,7,110.947556114957,182.65869519614014
99,366,774,7,183.40222222222224,105.89882352941177
